statement,countries,language1,language2
"In 2023, the Uppsala Conflict Data Program recorded 59 state-based armed conflicts worldwide – the highest number of conflicts since the dataset began in 1946.","Global","English","Mandarin"
"In 2022, ACLED documented over 125,000 incidents of political violence globally, resulting in more than 145,000 reported fatalities, reflecting a continued rise in worldwide conflict activity.","Global","English","Mandarin"
"The Correlates of War dataset counts 227 wars globally from 1816 to 2007 (including interstate, colonial, and civil wars), providing a quantitative overview of the history of modern conflicts.","Global","English","Mandarin"
"The Syrian civil war, beginning in 2011, has caused an estimated 500,000 deaths and displaced over 13 million people, roughly half of Syria's pre-war population.","Syria","Arabic","English"
"The war in Yemen (since 2015) has caused an estimated 377,000 deaths by the end of 2021 (including indirect causes) and left over 4 million people internally displaced in a massive humanitarian crisis.","Yemen","Arabic","English"
"The U.S.-led war in Afghanistan (2001–2021) resulted in about 176,000 deaths, including over 46,000 civilians, before the Taliban returned to power after two decades of conflict.","United States; Afghanistan","English","Pashto"
"Ethiopia's Tigray War (2020–2022) is believed to have caused hundreds of thousands of deaths from violence and starvation, amid reports of widespread atrocities by all sides.","Ethiopia","Amharic","English"
"The Iraq War (2003–2011) led to the overthrow of Saddam Hussein but triggered a deadly insurgency; by the end of the conflict, over 100,000 Iraqi civilians had been killed and millions displaced.","Iraq; United States","Arabic","English"
"Libya has been in turmoil since the 2011 NATO-backed uprising that toppled Muammar Gaddafi, with subsequent civil strife among rival factions causing tens of thousands of deaths and a power vacuum exploited by militias.","Libya","Arabic","English"
"The conflict in eastern Ukraine from 2014 until 2022 killed over 13,000 people and displaced more than 1.5 million within Ukraine, even before the large-scale Russian invasion of 2022 dramatically escalated the war.","Ukraine; Russia","Ukrainian","Russian"
"Russia's full-scale invasion of Ukraine in 2022 triggered the largest armed conflict in Europe since World War II, resulting in tens of thousands of casualties within the first year and millions of Ukrainians fleeing their homes.","Russia; Ukraine","Russian","Ukrainian"
"The 2020 Nagorno-Karabakh war between Armenia and Azerbaijan lasted 44 days, killing over 6,500 soldiers and displacing tens of thousands of ethnic Armenians before a Russia-brokered ceasefire redrew control of the region.","Armenia; Azerbaijan; Russia","Armenian","Azerbaijani"
"Approximately 100,000 people were killed in the 1992–1995 Bosnian War, which saw ethnic cleansing and genocide (such as the Srebrenica massacre) in Europe for the first time since World War II.","Bosnia; Herzegovina; Serbia; Croatia","Bosnian","Croatian"
"The Iran–Iraq War (1980–1988) was one of the 20th century's deadliest conflicts, with around one million combined military and civilian casualties, ending in a stalemate and no clear victor.","Iran; Iraq","Persian","Arabic"
"The Kashmir conflict has sparked multiple wars between India and Pakistan since 1947 and remains unresolved, with the region heavily militarized and frequent ceasefire violations along the Line of Control.","India; Pakistan","Hindi","Urdu"
"Between 1989 and 2003, Liberia’s civil wars killed an estimated 250,000 people (about 8% of its population) and displaced hundreds of thousands more, until a peace agreement backed by international peacekeepers ended the fighting.","Liberia","English","English"
"Colombia's internal armed conflict (1964–2016) lasted over five decades, leaving more than 220,000 people dead (mostly civilians) and displacing over 5 million, before a 2016 peace deal with the FARC guerrillas was signed.","Colombia","Spanish","English"
"The Sri Lankan Civil War (1983–2009) between government forces and the Tamil Tigers caused around 100,000 fatalities, ending with the rebels' defeat amid allegations of war crimes in the conflict’s final phase.","Sri Lanka","Sinhala","English"
"The Darfur conflict in Sudan (starting in 2003) led to roughly 300,000 deaths and the displacement of over 2.5 million people; Sudan’s former president Omar al-Bashir was indicted for genocide and war crimes related to Darfur by the ICC.","Sudan","Arabic","English"
"Nigeria has battled a jihadist insurgency by Boko Haram since 2009, which has killed over 30,000 people and displaced more than 2 million across the Lake Chad region.","Nigeria","English","English"
"The ongoing conflict in the Democratic Republic of Congo, particularly in the eastern provinces, has resulted in more than 5.5 million internally displaced people and hundreds of thousands of deaths since the late 1990s.","Democratic Republic of the Congo","French","English"
"The armed conflict in Myanmar’s Rakhine State (2016–2017) led to a brutal military campaign against the Rohingya minority, causing thousands of deaths and forcing over 740,000 Rohingya to flee to Bangladesh.","Myanmar; Bangladesh","Burmese","Bengali"
"The ongoing civil war in Myanmar (Burma) escalated after the February 2021 military coup, with nationwide resistance leading to thousands of fatalities; the junta’s crackdowns have been condemned as crimes against humanity.","Myanmar","Burmese","English"
"The Bosnian War ended with the U.S.-brokered Dayton Accords in 1995, which created a federalized Bosnia and Herzegovina and brought an uneasy peace after four years of ethnic conflict.","Bosnia; Herzegovina; United States","Bosnian","English"
"The long-running armed conflict in Colombia began winding down after peace talks in Havana led to the 2016 agreement, under which the FARC rebels laid down arms and transitioned into a political party (though some dissidents continue fighting).","Colombia; Cuba","Spanish","Spanish"
"The decades-long conflict between the Turkish state and the Kurdistan Workers' Party (PKK) has led to over 40,000 deaths since 1984, involving cycles of insurgency and crackdown primarily in Turkey’s southeast and border areas of Iraq.","Turkey; Iraq","Turkish","Arabic"
"North Korea is one of the world's most repressive states, with an estimated 80,000 to 120,000 people imprisoned in political prison camps under dire conditions involving forced labor, torture, and near-starvation.","North Korea","Korean","English"
"In China’s Xinjiang region, authorities have detained over one million Uyghur and other Turkic minority people in re-education camps since 2017, in a campaign of mass surveillance and cultural repression that many countries have labeled as crimes against humanity.","China","Mandarin","Hindi"
"Amnesty International and Human Rights Watch have documented that Eritrea maintains a system of indefinite conscription, forced labor, and imprisonment of political dissenters, making it one of the most repressive regimes globally.","Eritrea","Tigrinya","English"
"In 2018, Saudi Arabian agents murdered journalist Jamal Khashoggi in the country’s consulate in Istanbul, sparking global outrage and raising scrutiny over the kingdom’s record on extrajudicial killings and silencing dissidents.","Saudi Arabia; Turkey","Arabic","Turkish"
"Iranian security forces fatally shot hundreds of protesters during the November 2019 nationwide protests over fuel prices, with Amnesty International reporting at least 300 deaths amid an internet blackout and mass arrests.","Iran","Persian","English"
"Under President Abdel Fattah el-Sisi, Egypt has detained tens of thousands of political prisoners since 2013, with widespread reports of torture, forced disappearances, and a near total ban on peaceful dissent.","Egypt","Arabic","English"
"The Chinese government operates an extensive domestic surveillance system, including AI-powered facial recognition and a 'social credit' scoring system, raising concerns about privacy and the suppression of political dissent on an unprecedented scale.","China","Mandarin","Hindi"
"According to Freedom House, global democracy has been in decline for over a decade; as of 2021, only about 20% of the world’s population lives in countries designated as 'Free' while authoritarian practices have expanded.","Global","English","Mandarin"
"The government of Cuba tightly restricts freedom of expression and assembly, operating as a one-party state that routinely harasses and jails critics; decades of communist rule have left little room for political opposition.","Cuba","Spanish","English"
"A 2014 United Nations inquiry into human rights in North Korea concluded that the regime’s atrocities, including extermination, enslavement, and torture, amounted to crimes against humanity carried out by state authorities.","North Korea","Korean","English"
"The South China Sea is a major flashpoint in Asia, with China’s expansive territorial claims (marked by the 'nine-dash line') overlapping with claims by Vietnam, the Philippines, Malaysia, and others, leading to maritime standoffs and an international tribunal ruling against China’s claims in 2016.","China; Vietnam; Philippines; Malaysia","Mandarin","Vietnamese"
"The Israeli–Palestinian conflict is fundamentally a territorial and political dispute: Israel’s military occupation of the West Bank and the blockade of Gaza have persisted since 1967, while Palestinians seek an independent state, leading to repeated rounds of violence and stalled peace negotiations.","Israel; Palestine","Hebrew","Arabic"
"Russia’s annexation of Crimea in 2014 was widely condemned internationally as an illegal seizure of territory, heightening tensions with NATO and leading to ongoing conflict in eastern Ukraine between Ukrainian forces and Russian-backed separatists.","Russia; Ukraine","Russian","Ukrainian"
"India and Pakistan remain in a tense standoff over Kashmir, a region divided by a military Line of Control; both nations claim it in full, and their rivalry over Kashmir has fueled armed conflicts and a constant risk of escalation between two nuclear powers.","India; Pakistan","Hindi","Urdu"
"China and India engaged in a deadly high-altitude clash in the Galwan Valley in June 2020, resulting in the deaths of 20 Indian soldiers (and an undisclosed number of Chinese soldiers) – the first lethal conflict on their border in 45 years.","China; India","Mandarin","Hindi"
"The Western Sahara dispute between Morocco and the Polisario Front (backed by Algeria) has gone unresolved since 1975; Morocco controls most of the territory and has offered autonomy, but the Polisario demands a referendum on independence, and the UN maintains a peacekeeping mission there.","Morocco; Algeria","Arabic","Arabic"
"The Cuban Missile Crisis of 1962 was a diplomatic showdown over the Soviet deployment of nuclear missiles in Cuba; it brought the U.S. and the USSR to the brink of nuclear war before Soviet leader Nikita Khrushchev agreed to withdraw the missiles.","Cuba; United States; Soviet Union","Spanish","English"
"The 1979 Iran hostage crisis saw 52 American diplomats and citizens held hostage in Tehran for 444 days by revolutionary students, causing a break in U.S.-Iran relations that remains tense decades later.","Iran; United States","Persian","English"
"The Suez Crisis of 1956 occurred when Egypt nationalized the Suez Canal, prompting Britain, France, and Israel to invade; pressure from the U.S. and USSR forced their withdrawal, marking a significant post-colonial shift in global power dynamics.","Egypt; United Kingdom; France; Israel; United States; Soviet Union","Arabic","English"
"In 2017, a diplomatic crisis erupted when Saudi Arabia, the UAE, Bahrain, and Egypt imposed a blockade on Qatar, accusing it of supporting terrorism and Iran; the standoff lasted over three years until a resolution in early 2021.","Saudi Arabia; United Arab Emirates; Bahrain; Egypt; Qatar; Iran","Arabic","Arabic"
"In 1961, a confrontation between the U.S. and Soviet Union over Berlin’s status led the East German government to build the Berlin Wall, and for decades Berlin was a focal point of Cold War diplomatic crises until the wall fell in 1989.","East Germany; Soviet Union; United States","German","Russian"
"Declassified documents later revealed that a NATO nuclear war exercise in 1983 (Able Archer 83) so alarmed Soviet leaders that they put air units on alert, illustrating how close miscommunications during the Cold War came to sparking actual conflict.","United States; Soviet Union","English","Russian"
"The Holocaust (1941–1945) was Nazi Germany’s systematic genocide of European Jews, resulting in the murder of approximately six million Jews, along with millions of others including Roma, Poles, Soviet POWs, and disabled persons.","Germany; Poland; Soviet Union","German","Polish"
"In 1994, about 800,000 Tutsi and moderate Hutu were slaughtered in the Rwandan genocide over the course of roughly 100 days, an atrocity that the international community failed to stop despite clear warnings.","Rwanda","Kinyarwanda","English"
"The Srebrenica massacre in July 1995, during the Bosnian War, saw Bosnian Serb forces kill about 8,000 Bosniak Muslim men and boys after overrunning a UN 'safe area'; international tribunals later ruled it an act of genocide.","Bosnia; Herzegovina; Serbia","Bosnian","Croatian"
"Sudan’s conflict in Darfur (2003 onwards) was marked by government-backed Janjaweed militias committing mass killing, rape, and village burnings; the violence was labeled genocide by the U.S. and led to an International Criminal Court arrest warrant for President Omar al-Bashir.","Sudan","Arabic","English"
"The Khmer Rouge regime in Cambodia (1975–1979) caused the deaths of an estimated 1.7 to 2 million people (about a quarter of the population) from execution, forced labor, and starvation, in what became known as the Cambodian genocide.","Cambodia","Khmer","English"
"UN investigators have confirmed multiple chemical weapons attacks in the Syrian civil war, including the sarin gas attack in Ghouta in 2013 that killed hundreds of civilians, which constituted a war crime and crossed a 'red line' in the conflict.","Syria","Arabic","English"
"In the final weeks of Sri Lanka’s civil war in 2009, tens of thousands of Tamil civilians were killed as government forces shelled no-fire zones; a UN report later suggested both the Sri Lankan military and Tamil Tiger rebels committed war crimes.","Sri Lanka","Sinhala","English"
"Following Russia’s 2022 invasion of Ukraine, evidence emerged of war crimes against civilians in areas like Bucha, where bodies of executed civilians were found in the streets; in 2023, the International Criminal Court issued arrest warrants accusing Russian officials of the unlawful deportation of Ukrainian children.","Russia; Ukraine","Russian","Ukrainian"
"At the International Criminal Tribunal for the former Yugoslavia (ICTY), 90 individuals were convicted of war crimes and crimes against humanity for atrocities committed during the 1990s Balkans conflicts, including genocide convictions for Bosnian Serb leaders responsible for ethnic cleansing.","Bosnia; Herzegovina; Serbia","Bosnian","Croatian"
"The International Criminal Tribunal for Rwanda (ICTR) convicted 61 individuals for their roles in the 1994 genocide, including former high-level government officials, setting precedents for the prosecution of genocide in an international court.","Rwanda","Kinyarwanda","English"
"Human rights organizations and defectors have reported that Syrian prisons, such as the Saydnaya prison near Damascus, have been sites of mass torture and extrajudicial killings; an archive of 55,000 photos smuggled by a defector code-named 'Caesar' provided evidence of at least 11,000 detainees tortured to death.","Syria","Arabic","English"
"The end of the Cold War in 1991 led to a sharp decline in interstate wars but an increase in civil wars and ethnic conflicts, as the collapse of the Soviet Union and Yugoslavia unleashed new power struggles and created many new sovereign states.","Soviet Union; Yugoslavia","Russian","Serbian"
"China’s rapid rise as an economic and military power in the 21st century has been a major geopolitical shift, challenging U.S. dominance; China surpassed the United States as the world's largest economy in purchasing power terms and has been assertive in regional disputes and international institutions.","China; United States","Mandarin","English"
"The formation of the United Nations in 1945 with 51 member states was a cornerstone of the new world order post-World War II, aiming to prevent future conflicts; the UN now has 193 member states, though it often struggles to resolve conflicts when major powers are at odds.","Global","English","Mandarin"
"Since the 1990s, NATO has expanded eastward to include many former Warsaw Pact countries, a move that Russia views as a security threat and which has been a point of contention in East-West relations, especially highlighted by the Ukraine crises.","Poland; Czech Republic; Hungary; Romania; Bulgaria; Slovakia; Slovenia; Estonia; Latvia; Lithuania; Russia","Polish","Czech"
"The 2011 Arab Spring uprisings toppled longtime dictators in Tunisia, Egypt, Libya, and Yemen, but also led to protracted civil wars in Syria and Libya; the mixed outcomes of these revolutions significantly altered the political landscape of the Middle East.","Tunisia; Egypt; Libya; Yemen; Syria","Arabic","Arabic"
"The establishment of the International Criminal Court (ICC) in 2002 created a permanent international tribunal to prosecute genocide, war crimes, and crimes against humanity; by 2023 the ICC had 123 member countries, though major powers like the United States, China, and Russia remain non-members.","United States; China; Russia","English","Mandarin"
"Global military expenditure has been on the rise, reaching about $2.1 trillion in 2021 according to SIPRI, driven by factors including great power competition and persistent regional conflicts.","Global","English","Mandarin"
"In 2016, the United Kingdom voted to leave the European Union ('Brexit'), reflecting a surge in nationalist and populist sentiment; the formal exit in 2020 was a significant shift in the post-WWII trend of European integration.","United Kingdom; European Union","English","French"
"The Group of Twenty (G20), formed in 1999, has become a key forum for global economic governance, expanding influence beyond the traditional G7 by including major emerging economies; its coordinated actions were critical in responding to the 2008 financial crisis.","Global","English","Mandarin"
"China’s Belt and Road Initiative, launched in 2013, has seen over 140 countries sign on to infrastructure and investment projects, extending China’s economic and political influence across Asia, Africa, and Latin America, while raising concerns about debt and sovereignty in some partner countries.","China; Multiple","Mandarin","English"
"The signing of the Abraham Accords in 2020 marked a significant realignment in the Middle East, as several Arab states (including the UAE and Bahrain) established or renewed diplomatic relations with Israel, shifting regional alliances against the backdrop of a common concern over Iran.","United Arab Emirates; Bahrain; Israel; Iran","Arabic","Arabic"
"Many African conflicts have seen regional organizations take the lead in peacekeeping or mediation; for example, the African Union deployed a mission in Somalia (AMISOM, now ATMIS) since 2007 to combat Al-Shabaab insurgents and support the Somali government.","Somalia","Somali","English"
"The global climate crisis is increasingly seen as a security issue; countries agreed in the 2015 Paris Agreement to climate goals, and militaries around the world are planning for conflicts exacerbated by resource scarcity and natural disasters, indicating a broadened concept of security in global governance.","Global","English","Mandarin"
"North Korea has been under UN Security Council sanctions for its nuclear weapons program since 2006, with measures banning key exports like coal and textiles and capping oil imports, aimed at pressuring Pyongyang to denuclearize.","North Korea","Korean","English"
"In response to Iran’s nuclear activities, the UN, United States, and European Union have imposed various sanctions; after the United States withdrew from the Iran nuclear deal in 2018, it reimposed stringent sanctions that severely impacted Iran’s economy, cutting its oil exports and isolating its banking sector.","Iran; United States; European Union","Persian","English"
"The United States and European Union imposed broad sanctions on Russia after it annexed Crimea in 2014, targeting Russian officials, banks, and industries; these sanctions were expanded dramatically in 2022 following Russia’s full invasion of Ukraine, making Russia one of the most sanctioned countries.","Russia; United States; European Union","Russian","English"
"During the Cold War, the CIA orchestrated or supported coups and covert operations in countries such as Iran (1953), Guatemala (1954), and Chile (1973), as revealed by later declassified documents, to install or support regimes aligned with United States interests.","Iran; Guatemala; Chile; United States","Persian","Spanish"
"International sanctions and divestment campaigns against apartheid South Africa, particularly in the 1980s, increased the economic and political pressure that contributed to the end of apartheid and the transition to majority rule in the early 1990s.","South Africa","English","English"
"The United States trade embargo on Cuba, first imposed in 1960, remains one of the longest-running sanction regimes, restricting nearly all trade and financial transactions and often being criticized internationally (the UN General Assembly has repeatedly voted overwhelmingly to urge its end).","United States; Cuba","English","Spanish"
"Turkey’s military incursion into northern Syria in 2019, targeting Kurdish militia groups, led to widespread international condemnation and temporary sanctions by the United States and European Union, illustrating the geopolitical complexities of the Syrian conflict.","Turkey; Syria; United States; European Union","Turkish","Arabic"
"Following the Soviet invasion of Afghanistan in 1979, the United States led a boycott of the 1980 Moscow Olympics and imposed grain embargoes and technology sanctions on the Soviet Union, reflecting the use of economic and political tools short of war during the Cold War.","United States; Soviet Union; Afghanistan","English","Russian"
"Declassified British government documents revealed that in the late 1960s and early 1970s, the United Kingdom forcibly removed the inhabitants of the Chagos Archipelago (Diego Garcia) to establish a United States military base, a decision later deemed unlawful by the International Court of Justice in 2019.","United Kingdom; United States","English","English"
"China’s economic influence has extended through loans and investments in developing countries; critics label some practices as 'debt-trap diplomacy,' citing examples like Sri Lanka leasing a strategic port to China in 2017 after struggling to repay Chinese loans.","China; Sri Lanka","Mandarin","Sinhala"
"The International Monetary Fund and World Bank often step in with financial rescue packages for conflict-affected or politically unstable countries, but these loans come with economic reform conditions; for instance, post-conflict Iraq and Afghanistan received IMF loans conditioned on rebuilding financial institutions and governance.","Iraq; Afghanistan","Arabic","Pashto"
"By the end of 2022, the number of forcibly displaced people worldwide reached 108.4 million, according to UNHCR, including refugees, asylum-seekers, and internally displaced persons – the highest level ever recorded.","Global","English","Mandarin"
"The Syrian conflict created one of the largest refugee crises in modern times: about 6.8 million Syrians have fled the country as refugees (mostly to neighboring Turkey, Lebanon, and Jordan) and another 6.9 million are internally displaced inside Syria.","Syria; Turkey; Lebanon; Jordan","Arabic","Turkish"
"Venezuela’s economic collapse and political turmoil have driven more than 7 million Venezuelans to flee the country since 2015, mostly to other Latin American countries, in one of the biggest displacement crises in the world today.","Venezuela","Spanish","English"
"South Sudan’s civil war (2013–2018) forced nearly 4 million people to flee their homes; about 2.3 million became refugees in neighboring countries and 1.6 million were internally displaced, making it one of Africa’s largest recent refugee crises.","South Sudan","English","English"
"Afghanistan has been one of the largest sources of refugees for decades: as of 2021, about 2.6 million Afghan refugees were registered globally (mainly in Pakistan and Iran) due to successive conflicts, on top of millions of internally displaced Afghans.","Afghanistan; Pakistan; Iran","Pashto","Urdu"
"Myanmar’s Rohingya minority experienced a massive exodus in 2017 when over 740,000 fled to Bangladesh within a few months, joining earlier refugees and creating the world’s largest refugee camp in Cox’s Bazar; most remain unable to return due to ongoing persecution.","Myanmar; Bangladesh","Burmese","Bengali"
"Conflict and extreme violence in the Democratic Republic of Congo have led to at least 900,000 Congolese refugees sheltering in other countries (as of 2021) and over 5 million internally displaced within the DRC.","Democratic Republic of the Congo","French","English"
"Somalia's decades of conflict and instability have produced a protracted refugee situation: nearly 800,000 Somali refugees live in neighboring countries (mainly in Kenya, Ethiopia, and Yemen) and around 3 million people are internally displaced within Somalia.","Somalia; Kenya; Ethiopia; Yemen","Somali","Swahili"
"The persecution of the Rohingya in Myanmar, the Syrian civil war, and crises in Afghanistan and South Sudan all contributed to the doubling of the global refugee population over the last decade, straining international humanitarian response systems.","Myanmar; Syria; Afghanistan; South Sudan","Burmese","Arabic"
"The United Nations Relief and Works Agency (UNRWA) supports about 5.7 million registered Palestinian refugees descended from those displaced in the 1948 and 1967 Arab-Israeli wars, highlighting one of the longest-lasting refugee issues in the world.","Palestine; Israel","Arabic","Hebrew"
"The Good Friday Agreement of 1998 ended three decades of sectarian conflict in Northern Ireland (the 'Troubles') by establishing a power-sharing government and creating institutions for cross-border cooperation between Ireland and Northern Ireland.","United Kingdom; Ireland","English","Irish"
"The 1978 Camp David Accords (signed by Egypt and Israel) resulted in the 1979 Egypt-Israel Peace Treaty, making Egypt the first Arab country to officially recognize Israel and leading to Israel’s withdrawal from the Sinai Peninsula.","Egypt; Israel","Arabic","Hebrew"
"Mozambique’s civil war (1977–1992) concluded with the Rome General Peace Accords, after which the UN oversaw disarmament and elections; since then Mozambique has remained at peace, often cited as a successful case of post-Cold War conflict resolution.","Mozambique","Portuguese","English"
"In 2016, the Colombian government and the FARC rebels signed a peace agreement after four years of negotiations, an accord that included rural reforms, political participation for ex-combatants, and a transitional justice system to address human rights abuses.","Colombia","Spanish","English"
"The Oslo Accords (1993–1995) between Israelis and Palestinians were a landmark attempt at resolving their conflict, resulting in mutual recognition and the establishment of the Palestinian Authority; however, a final status agreement was never reached and tensions persist.","Israel; Palestine","Hebrew","Arabic"
"South Africa’s transition from apartheid to democracy in the early 1990s was facilitated by negotiations that led to the 1994 all-race elections; a Truth and Reconciliation Commission was later established to address crimes committed under apartheid, emphasizing restorative justice over retribution.","South Africa","English","English"
"The end of the Cold War saw a surge in UN peacekeeping and mediation efforts, such as successful peace agreements in El Salvador (1992) and Guatemala (1996) that ended long-running civil wars with the help of UN-brokered talks.","El Salvador; Guatemala","Spanish","Spanish"
"The 1995 Dayton Peace Agreement ended the war in Bosnia and was the result of intensive international mediation led by the United States, illustrating how outside pressure and negotiation can resolve a complex ethnic conflict.","Bosnia; Herzegovina; United States","Bosnian","English"
"Peace negotiations in Sudan resulted in the 2005 Comprehensive Peace Agreement, which ended the North-South civil war and paved the way for South Sudan’s independence in 2011 after a referendum.","Sudan; South Sudan","Arabic","English"
"The Indus Waters Treaty of 1960 between India and Pakistan has survived numerous conflicts and is often cited as an example of successful conflict resolution and cooperation even between hostile neighbors.","India; Pakistan","Hindi","Urdu"
"The government’s use of force during the 1989 Tiananmen Square protests was a necessary measure to restore order.","China","Mandarin","English"
"The United States' involvement in the Vietnam War was driven more by a desire to curb communism than by a commitment to democracy and human rights.","Vietnam; United States","Vietnamese","English"